,Unnamed: 0,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C),연도,월,일,수출(kg),수출(달러),수입(kg),수입(달러),소비자물가총지수,인플레이션 반영가,직전 1달 수출(달러),직전 1달 수입(달러),직전 1달 평균기온(°C),직전 1달 평균 상대습도(%),직전 1달 합계 일사량(MJ/m2),직전 1달 평균 풍속(m/s),직전 1달 최대 풍속(m/s),직전 1달 최고기온(°C),직전 1달 최저기온(°C),직전 1달 평균 지면온도(°C),직전 2달 수출(달러),직전 2달 수입(달러),직전 2달 평균기온(°C),직전 2달 평균 상대습도(%),직전 2달 합계 일사량(MJ/m2),직전 2달 평균 풍속(m/s),직전 2달 최대 풍속(m/s),직전 2달 최고기온(°C),직전 2달 최저기온(°C),직전 2달 평균 지면온도(°C),직전 3달 수출(달러),직전 3달 수입(달러),직전 3달 평균기온(°C),직전 3달 평균 상대습도(%),직전 3달 합계 일사량(MJ/m2),직전 3달 평균 풍속(m/s),직전 3달 최대 풍속(m/s),직전 3달 최고기온(°C),직전 3달 최저기온(°C),직전 3달 평균 지면온도(°C),직전 4달 수출(달러),직전 4달 수입(달러),직전 4달 평균기온(°C),직전 4달 평균 상대습도(%),직전 4달 합계 일사량(MJ/m2),직전 4달 평균 풍속(m/s),직전 4달 최대 풍속(m/s),직전 4달 최고기온(°C),직전 4달 최저기온(°C),직전 4달 평균 지면온도(°C),직전 5달 수출(달러),직전 5달 수입(달러),직전 5달 평균기온(°C),직전 5달 평균 상대습도(%),직전 5달 합계 일사량(MJ/m2),직전 5달 평균 풍속(m/s),직전 5달 최대 풍속(m/s),직전 5달 최고기온(°C),직전 5달 최저기온(°C),직전 5달 평균 지면온도(°C),직전 6달 수출(달러),직전 6달 수입(달러),직전 6달 평균기온(°C),직전 6달 평균 상대습도(%),직전 6달 합계 일사량(MJ/m2),직전 6달 평균 풍속(m/s),직전 6달 최대 풍속(m/s),직전 6달 최고기온(°C),직전 6달 최저기온(°C),직전 6달 평균 지면온도(°C),가격
2369,2369,2006-11-02,무,1482,13.012820512820513,8.46025641025641,19.22820512820513,37.47435897435897,70.28461538461538,4.865384615384615,1.778205128205128,12.24318181818182,7.284615384615385,14.07179487179487,2006,11,2,192050.0,151384,70120.0,9787,76.1,19.47437582128778,25690.533333333333,2357.166666666667,16.61657824933687,72.53191865605658,372.00590909090914,1.62736516357206,5.762820512820513,26.28846153846154,0.0,18.49562334217507,20187.93333333333,4730.533333333334,19.155128205128204,73.25491452991452,430.1254545454546,1.9355982905982905,7.855128205128206,29.00641025641025,0.0,21.861282051282057,5358.400000000001,327.5333333333333,25.951068376068385,76.34653846153846,517.209090909091,1.715683760683761,6.611538461538462,34.0525641025641,0.0,29.726666666666667,4946.233333333334,9958.0,23.626436781609208,83.71419098143237,367.40272727272713,1.9442528735632183,6.388461538461539,33.457692307692305,0.0,25.613174182139694,8014.666666666667,5145.333333333334,21.21158267020336,77.04027409372237,464.18,2.0221927497789567,8.1,29.42692307692308,0.0,24.021175950486292,15037.000000000002,578.1333333333333,17.361367521367523,70.5044017094017,516.6404545454545,2.217393162393163,7.315384615384616,27.5525641025641,0.0,20.112521367521367,2
2370,2370,2006-11-03,무,1463,13.021794871794873,7.005128205128205,20.619230769230768,41.87179487179487,72.55384615384615,4.143589743589743,1.5076923076923077,11.659545454545452,7.523076923076922,13.416666666666666,2006,11,3,192050.0,151384,70120.0,9787,76.1,19.22470433639948,29999.36666666667,2610.866666666667,16.439124668435014,72.44646330680813,366.44045454545454,1.6389036251105218,5.762820512820513,26.28846153846154,0.0,18.22427055702918,20256.9,4639.3,18.98102564102563,73.19619658119657,428.45318181818186,1.9299572649572645,7.855128205128206,28.33333333333333,0.0,21.67602564102565,5883.1,491.3,25.810897435897445,76.37482905982907,513.6340909090909,1.720854700854701,6.611538461538462,34.0525641025641,0.0,29.55051282051282,4916.200000000001,9575.0,23.854951370468623,83.40932802829354,380.67909090909086,1.918788682581786,6.388461538461539,33.75128205128205,0.0,25.956012378426177,7895.533333333334,5383.8,21.251900972590622,77.38448275862069,450.9899999999999,2.0433244916003543,8.1,29.42692307692308,0.0,23.935543766578256,14796.5,722.6666666666666,17.48888888888889,69.93901709401712,536.565,2.155811965811966,6.96025641025641,27.5525641025641,0.0,20.402863247863245,1
2371,2371,2006-11-04,무,1463,14.424358974358974,9.403846153846152,20.15384615384616,46.11538461538461,74.17692307692307,4.826923076923077,1.8884615384615384,8.486818181818181,4.853846153846154,14.05,2006,11,4,192050.0,151384,70120.0,9787,76.1,19.22470433639948,34308.2,2864.5666666666666,16.252564102564104,72.43284703801945,362.8559090909091,1.63894783377542,5.762820512820513,26.28846153846154,0.0,17.944120247568524,20325.86666666667,4548.066666666667,18.83149572649572,73.13901709401708,427.9690909090909,1.92034188034188,7.855128205128206,26.79102564102564,0.0,21.5074358974359,6407.8,655.0666666666666,25.66547008547009,76.38008547008548,507.2145454545456,1.7332051282051286,6.611538461538462,34.0525641025641,0.0,29.35388888888889,4886.166666666667,9192.0,24.10238726790452,83.09858532272327,394.2604545454544,1.9101679929266135,6.388461538461539,33.75128205128205,0.0,26.30702917771884,7776.400000000001,5622.266666666666,21.232670203359856,77.8133952254642,437.7995454545455,2.043280282935456,8.1,29.42692307692308,0.0,23.805879752431483,14556.0,867.2,17.615170940170945,69.68658119658122,542.1436363636363,2.1382051282051284,6.96025641025641,27.5525641025641,0.0,20.646410256410256,1
2372,2372,2006-11-05,무,1463,14.192307692307692,8.166666666666666,19.67820512820513,40.03846153846154,67.05,7.230769230769231,3.173076923076923,9.293636363636365,5.142307692307693,13.548717948717949,2006,11,5,192050.0,151384,70120.0,9787,76.1,19.22470433639948,38617.03333333333,3118.266666666667,16.098983200707337,72.76679929266135,355.0109090909091,1.6129531388152076,5.635897435897436,26.28846153846154,0.0,17.688063660477457,20394.833333333336,4456.833333333334,18.79876068376068,72.82555555555557,433.8477272727273,1.926068376068376,7.855128205128206,26.79102564102564,0.0,21.467905982905982,6932.5,818.8333333333333,25.42064102564103,76.35427350427351,496.0300000000001,1.7622222222222226,6.611538461538462,34.0525641025641,0.0,29.029444444444447,4856.133333333333,8809.0,24.280857648099037,82.80030946065429,402.4868181818181,1.9187002652519896,6.388461538461539,33.75128205128205,0.0,26.581786030061892,7657.266666666666,5860.733333333334,21.2920866489832,78.20601237842618,433.8695454545455,2.0304155614500448,8.1,29.42692307692308,0.0,23.790848806366053,14315.500000000002,1011.7333333333332,17.741196581196583,69.62085470085472,541.2104545454546,2.1100854700854703,6.96025641025641,27.5525641025641,0.0,20.845128205128205,1
2373,2373,2006-11-06,무,1436,7.598717948717949,3.423076923076923,12.575641025641024,45.84615384615385,71.8474358974359,7.753846153846153,3.093589743589744,6.059545454545455,2.9,8.762820512820513,2006,11,6,192050.0,151384,70120.0,9787,76.1,18.86990801576873,42925.86666666667,3371.9666666666667,15.947524314765696,73.01087533156499,346.26818181818186,1.6312113174182143,7.230769230769231,26.28846153846154,0.0,17.406321839080462,20463.8,4365.6,18.79602564102564,72.15141025641024,435.7936363636364,1.9541452991452988,7.855128205128206,26.79102564102564,0.0,21.461367521367524,7457.200000000001,982.6,25.13012820512821,76.57679487179487,489.9045454545455,1.7757264957264962,6.611538461538462,34.0525641025641,0.0,28.673803418803423,4826.1,8426.0,24.42869142351902,82.43766578249338,414.5027272727272,1.912864721485411,6.388461538461539,33.75128205128205,0.0,26.85981432360743,7538.133333333332,6099.2,21.45742705570292,78.32886825817859,434.9109090909091,2.010477453580902,8.1,29.42692307692308,0.0,23.931874447391696,14074.999999999998,1156.2666666666669,17.798504273504275,69.79465811965814,532.8659090909091,2.1030341880341883,6.96025641025641,27.5525641025641,0.0,20.885384615384616,1
2374,2374,2006-11-07,무,1429,5.230769230769231,0.9653846153846154,10.075641025641024,39.11538461538461,61.93333333333334,7.147435897435898,3.2243589743589745,12.455,7.437179487179487,6.635897435897436,2006,11,7,192050.0,151384,70120.0,9787,76.1,18.77792378449409,47234.7,3625.666666666667,15.60216622458002,73.2076038903625,334.6372727272728,1.6790450928381964,7.753846153846153,26.28846153846154,0.0,16.98744473916888,20532.76666666667,4274.366666666667,18.71051282051282,71.98504273504274,431.6513636363636,1.9505555555555552,7.855128205128206,26.24871794871795,0.0,21.37183760683761,7981.9,1146.3666666666668,24.87726495726496,76.51662393162395,488.0990909090909,1.7882905982905986,6.611538461538462,33.80769230769231,0.0,28.34777777777777,4796.066666666666,8042.999999999999,24.574182139699392,81.9793103448276,427.7163636363634,1.889522546419098,6.388461538461539,34.0525641025641,0.0,27.16193633952255,7419.0,6337.666666666666,21.58399646330681,78.90393457117594,421.45090909090914,2.005172413793104,8.1,29.42692307692308,0.0,23.944341290893018,13834.5,1300.8,17.9207264957265,69.23918803418806,549.0495454545455,2.11517094017094,6.96025641025641,27.5525641025641,0.0,21.10521367521368,1
2375,2375,2006-11-08,무,1414,12.182051282051283,3.517948717948717,18.29615384615385,47.87179487179487,68.76666666666667,6.821794871794872,3.234615384615384,10.288636363636364,6.30897435897436,10.682051282051283,2006,11,8,192050.0,151384,70120.0,9787,76.1,18.580814717477004,51543.53333333333,3879.3666666666654,15.15817860300619,72.73222811671087,333.7104545454546,1.743059239610964,7.753846153846153,26.28846153846154,0.0,16.499469496021224,20601.73333333333,4183.133333333333,18.617606837606843,71.94324786324788,435.1654545454545,1.930384615384615,7.855128205128206,26.24871794871795,0.0,21.31559829059829,8506.6,1310.1333333333332,24.648931623931624,76.62311965811968,476.405,1.8088461538461535,6.611538461538462,33.68846153846154,0.0,27.99068376068376,4939.7,8042.999999999999,24.679829059829064,81.70594017094018,449.2781818181817,1.8717521367521368,6.388461538461539,34.0525641025641,0.0,27.362777777777787,7126.2,6193.133333333333,21.66904761904761,79.07999084249083,407.9972727272726,1.9656593406593408,6.817948717948718,29.42692307692308,0.0,24.019780219780223,13594.0,1445.3333333333333,18.03252136752137,69.56051282051284,541.6390909090909,2.13559829059829,8.1,27.5525641025641,0.0,21.21568376068376,1
2376,2376,2006-11-09,무,1427,15.289743589743589,9.029487179487178,20.685897435897434,40.12820512820513,66.85128205128204,6.493589743589744,2.9064102564102563,8.672727272727274,4.832051282051282,14.146153846153847,2006,11,9,192050.0,151384,70120.0,9787,76.1,18.75164257555848,55852.36666666667,4133.066666666667,14.914014146772768,72.39491600353668,332.62,1.8064986737400528,7.753846153846153,26.28846153846154,0.0,16.135190097259063,20670.7,4091.9,18.59615384615385,71.98252136752139,440.84090909090907,1.898290598290598,7.855128205128206,26.24871794871795,0.0,21.31341880341881,9031.3,1473.9,24.38773504273504,76.72764957264958,461.8822727272727,1.839786324786325,6.611538461538462,33.68846153846154,0.0,27.60089743589744,4909.666666666666,7660.0,24.81696581196581,81.35418803418806,458.93318181818165,1.8415811965811963,6.388461538461539,34.0525641025641,0.0,27.64722222222223,7007.066666666666,6431.6,21.83869047619047,79.44500915750915,400.0813636363636,1.9641483516483516,6.817948717948718,29.42692307692308,0.0,24.1209706959707,13353.499999999998,1589.8666666666666,18.18897435897436,70.1061965811966,550.9190909090909,2.151282051282052,8.1,27.5525641025641,0.0,21.433760683760685,1
2377,2377,2006-11-10,무,1422,10.665384615384616,6.165384615384615,15.857692307692307,27.47435897435897,57.18076923076924,4.066666666666666,1.5666666666666669,7.831818181818182,3.221794871794872,10.621794871794872,2006,11,10,192050.0,151384,70120.0,9787,76.1,18.68593955321945,60161.2,4386.766666666666,14.773342175066317,72.21538461538462,327.0295454545455,1.8514146772767464,7.753846153846153,25.7,0.0,15.875817860300618,20739.666666666664,4000.666666666666,18.702521367521367,72.40166666666666,435.14772727272725,1.862136752136752,7.855128205128206,26.28846153846154,0.0,21.371324786324788,9556.0,1637.6666666666663,24.030085470085467,76.22303418803419,465.03681818181815,1.877051282051282,6.611538461538462,33.68846153846154,0.0,27.22051282051282,4879.633333333333,7277.0,24.880512820512823,80.8892735042735,466.0686363636362,1.812863247863248,6.388461538461539,34.0525641025641,0.0,27.832435897435904,6887.9333333333325,6670.066666666667,22.003113553113547,80.19894688644686,382.9500000000001,1.9909798534798533,6.817948717948718,29.42692307692308,0.0,24.17477106227107,13113.0,1734.4,18.39820512820513,70.30564102564105,556.65,2.11974358974359,8.1,27.5525641025641,0.0,21.674957264957264,1
2378,2378,2006-11-11,무,1422,8.126923076923077,3.258974358974359,13.351282051282052,23.91025641025641,53.07307692307692,6.6269230769230765,3.257692307692308,12.21818181818182,7.9192307692307695,8.976923076923077,2006,11,11,192050.0,151384,70120.0,9787,76.1,18.68593955321945,64470.033333333326,4640.466666666666,14.497259062776305,71.67864721485411,324.58909090909094,1.84686118479222,7.753846153846153,25.7,0.0,15.53841732979664,20808.63333333333,3909.433333333333,18.7998717948718,72.39123931623932,435.335,1.8674786324786323,7.855128205128206,26.28846153846154,0.0,21.4441452991453,10080.7,1801.4333333333332,23.656153846153845,76.14188034188034,456.2868181818181,1.876880341880342,6.611538461538462,33.68846153846154,0.0,26.7615811965812,4849.6,6894.0,24.89576923076924,80.62944444444446,470.3781818181817,1.785940170940171,6.388461538461539,34.0525641025641,0.0,27.9773076923077,7061.599999999999,7053.066666666667,22.15857648099027,80.30548187444737,397.47545454545457,2.0034040671971707,6.817948717948718,30.507692307692302,0.0,24.29438549955792,12579.7,1734.4,18.49893899204244,70.7401414677277,531.430909090909,2.1001768346595937,8.1,27.5525641025641,0.0,21.763748894783376,1
2379,2379,2006-11-12,무,1422,6.178205128205128,0.6705128205128206,12.873076923076924,26.423076923076923,54.94615384615385,5.093589743589744,2.1333333333333333,12.854545454545455,8.783333333333333,6.682051282051282,2006,11,12,192050.0,151384,70120.0,9787,76.1,18.68593955321945,68778.86666666665,4894.166666666666,14.195888594164456,71.2473032714412,320.3477272727273,1.9019451812555264,7.753846153846153,25.7,0.0,15.155128205128204,20877.6,3818.2,18.74363247863248,72.0587606837607,439.64863636363634,1.858119658119658,7.855128205128206,26.28846153846154,0.0,21.435769230769232,10605.4,1965.2,23.35559829059829,76.14217948717949,447.1213636363635,1.8963675213675215,6.611538461538462,33.68846153846154,0.0,26.337564102564105,4819.566666666667,6511.0,24.93457264957265,80.41623931623933,474.1322727272726,1.757094017094017,6.388461538461539,34.0525641025641,0.0,28.12910256410257,6942.466666666667,7291.533333333333,22.423386383731213,80.21786030061892,410.2281818181818,1.980194518125552,6.453846153846153,31.066666666666663,0.0,24.607294429708222,12339.2,1878.9333333333332,18.572811671087536,71.71816976127323,515.5209090909091,2.137533156498674,8.1,27.5525641025641,0.0,21.77422634836428,1
