,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
55830,20180508,2018,5,8,¸¶´Ã,4.849,6833.35,6833.35,9921.0,9904.0
55837,20180509,2018,5,9,¸¶´Ã,4.849,6833.35,6833.35,9904.0,10016.0
55844,20180701,2018,7,1,¸¶´Ã,13.655,6591.65,6591.65,9640.0,9659.0
55851,20180702,2018,7,2,¸¶´Ã,13.655,6591.65,6591.65,9640.0,9659.0
55858,20180703,2018,7,3,¸¶´Ã,8.19,6275.0,6591.65,9659.0,9698.0
55865,20180704,2018,7,4,¸¶´Ã,7.034,6208.35,6275.0,9698.0,9675.0
55871,20180110,2018,1,10,¸¶´Ã,10.403,6580.0,6580.0,9705.0,9705.0
55878,20180111,2018,1,11,¸¶´Ã,8.958,6580.0,6580.0,9705.0,9693.0
55885,20180112,2018,1,12,¸¶´Ã,8.13,6530.0,6580.0,9693.0,9678.0
55895,20180311,2018,3,11,¸¶´Ã,8.475,6758.35,6758.35,9601.0,9561.0
55902,20180312,2018,3,12,¸¶´Ã,8.475,6758.35,6758.35,9601.0,9561.0
55909,20180313,2018,3,13,¸¶´Ã,8.475,6758.35,6758.35,9561.0,9583.0
55916,20180314,2018,3,14,¸¶´Ã,8.475,6758.35,6758.35,9583.0,9610.0
55921,20171118,2017,11,18,¸¶´Ã,12.137,6560.0,6560.0,9448.0,9363.0
55928,20171119,2017,11,19,¸¶´Ã,12.137,6560.0,6560.0,9448.0,9363.0
55935,20171120,2017,11,20,¸¶´Ã,12.137,6560.0,6560.0,9448.0,9363.0
55942,20171121,2017,11,21,¸¶´Ã,12.079,6560.0,6560.0,9363.0,9254.0
55945,20170522,2017,5,22,¸¶´Ã,17.514,6750.0,6770.0,10272.0,10272.0
55952,20170523,2017,5,23,¸¶´Ã,17.514,6750.0,6750.0,10272.0,10260.0
55959,20170524,2017,5,24,¸¶´Ã,17.514,6750.0,6750.0,10260.0,10260.0
