,Unnamed: 0,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C),연도,월,일,수출(kg),수출(달러),수입(kg),수입(달러),소비자물가총지수,인플레이션 반영가,직전 1달 수출(달러),직전 1달 수입(달러),직전 1달 평균기온(°C),직전 1달 평균 상대습도(%),직전 1달 합계 일사량(MJ/m2),직전 1달 평균 풍속(m/s),직전 1달 최대 풍속(m/s),직전 1달 최고기온(°C),직전 1달 최저기온(°C),직전 1달 평균 지면온도(°C),직전 2달 수출(달러),직전 2달 수입(달러),직전 2달 평균기온(°C),직전 2달 평균 상대습도(%),직전 2달 합계 일사량(MJ/m2),직전 2달 평균 풍속(m/s),직전 2달 최대 풍속(m/s),직전 2달 최고기온(°C),직전 2달 최저기온(°C),직전 2달 평균 지면온도(°C),직전 3달 수출(달러),직전 3달 수입(달러),직전 3달 평균기온(°C),직전 3달 평균 상대습도(%),직전 3달 합계 일사량(MJ/m2),직전 3달 평균 풍속(m/s),직전 3달 최대 풍속(m/s),직전 3달 최고기온(°C),직전 3달 최저기온(°C),직전 3달 평균 지면온도(°C),직전 4달 수출(달러),직전 4달 수입(달러),직전 4달 평균기온(°C),직전 4달 평균 상대습도(%),직전 4달 합계 일사량(MJ/m2),직전 4달 평균 풍속(m/s),직전 4달 최대 풍속(m/s),직전 4달 최고기온(°C),직전 4달 최저기온(°C),직전 4달 평균 지면온도(°C),직전 5달 수출(달러),직전 5달 수입(달러),직전 5달 평균기온(°C),직전 5달 평균 상대습도(%),직전 5달 합계 일사량(MJ/m2),직전 5달 평균 풍속(m/s),직전 5달 최대 풍속(m/s),직전 5달 최고기온(°C),직전 5달 최저기온(°C),직전 5달 평균 지면온도(°C),직전 6달 수출(달러),직전 6달 수입(달러),직전 6달 평균기온(°C),직전 6달 평균 상대습도(%),직전 6달 합계 일사량(MJ/m2),직전 6달 평균 풍속(m/s),직전 6달 최대 풍속(m/s),직전 6달 최고기온(°C),직전 6달 최저기온(°C),직전 6달 평균 지면온도(°C),직전 2달 인플레이션 반영가,직전 3달 인플레이션 반영가,직전 4달 인플레이션 반영가,직전 5달 인플레이션 반영가,직전 6달 인플레이션 반영가
46,46,1999-02-16,건고추,6473,4.794666666666667,-2.096,12.665333333333333,35.693333333333335,65.49866666666667,5.101333333333334,1.7173333333333334,12.952272727272726,8.008000000000001,4.712000000000001,1999,2,16,958,7677,1040625,1738551,61.8,104.7411003236246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,1999-02-17,건고추,6473,8.084,1.3079999999999998,13.396,51.16,70.36,5.890666666666667,2.321333333333333,6.623181818181819,3.693333333333333,6.545333333333333,1999,2,17,958,7677,1040625,1738551,61.8,104.7411003236246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,1999-02-18,건고추,6473,5.542666666666666,0.5359999999999999,10.38,23.73333333333333,52.764,7.125333333333333,3.3240000000000003,10.304545454545456,5.182666666666666,6.121333333333333,1999,2,18,958,7677,1040625,1738551,61.8,104.7411003236246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,1999-02-20,건고추,6473,-0.6346666666666667,-4.021333333333334,3.2173333333333334,30.586666666666662,49.34,7.545333333333333,3.614666666666667,14.138636363636364,8.216000000000001,1.768,1999,2,20,958,7677,1040625,1738551,61.8,104.7411003236246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,1999-02-21,건고추,6473,-0.6,-5.532,4.338666666666667,30.24,50.344,7.062666666666667,3.4040000000000004,14.672272727272729,8.942666666666668,1.8773333333333333,1999,2,21,958,7677,1040625,1738551,61.8,104.7411003236246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,1999-02-22,건고추,6473,2.158666666666667,-3.768,8.229333333333335,35.21333333333333,56.281333333333336,6.390666666666667,2.5866666666666664,13.57318181818182,7.957333333333333,3.0813333333333333,1999,2,22,958,7677,1040625,1738551,61.8,104.7411003236246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,1999-08-01,건고추,5582,25.502666666666663,23.30133333333333,28.468,69.32,81.63333333333334,6.381333333333334,2.648,10.522727272727272,2.973333333333333,26.57733333333333,1999,8,1,500,4653,55870,97108,61.8,90.32362459546924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,1999-08-02,건고추,5582,24.25333333333333,22.069333333333333,27.410666666666668,74.33333333333333,85.50800000000001,6.356,2.393333333333333,7.46,1.0173333333333332,25.71333333333333,1999,8,2,500,4653,55870,97108,61.8,90.32362459546924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,1999-08-04,건고추,5582,22.386666666666667,19.748,25.293333333333333,68.69333333333333,83.80133333333333,5.484,1.5573333333333332,10.077272727272726,1.8813333333333333,23.676,1999,8,4,500,4653,55870,97108,61.8,90.32362459546924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1999-08-05,건고추,5582,24.670666666666666,20.768,29.8,57.22666666666667,78.60266666666666,4.5280000000000005,1.6293333333333333,18.95272727272728,7.302666666666667,27.12,1999,8,5,500,4653,55870,97108,61.8,90.32362459546924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
