,Unnamed: 0,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C),연도,월,일,수출(kg),수출(달러),수입(kg),수입(달러)
3707,3707,2009-07-28,건고추,7400,21.851807228915664,19.70963855421687,24.742168674698792,67.86746987951807,83.05662650602409,4.072289156626506,1.6975903614457832,8.417241379310344,0.4819277108433735,24.0566265060241,2009,7,28,0,0,280612,560256
3708,3708,2009-07-29,건고추,7400,23.06626506024097,19.38674698795181,27.704819277108435,57.27710843373494,78.53012048192771,4.412048192771084,1.872289156626506,19.04344827586207,5.351807228915662,26.22409638554217,2009,7,29,0,0,280612,560256
3709,3709,2009-07-30,건고추,7400,24.09638554216868,20.020481927710843,29.20843373493976,53.93975903614458,76.13614457831325,3.932530120481928,1.580722891566265,21.73655172413793,7.514457831325302,27.88192771084337,2009,7,30,0,0,280612,560256
3710,3710,2009-07-31,건고추,7400,23.70722891566265,20.703614457831325,28.296385542168675,56.34939759036145,77.06265060240963,4.026506024096386,1.5662650602409638,18.0696551724138,5.114457831325301,27.372289156626508,2009,7,31,0,0,280612,560256
3711,3711,2009-05-01,건고추,7100,16.53253012048193,8.656626506024097,23.892771084337348,25.674698795180724,50.5289156626506,5.157831325301205,2.137349397590361,24.58172413793104,10.996385542168674,20.2710843373494,2009,5,1,0,0,325484,546564
3712,3712,2009-05-02,건고추,7100,16.297590361445785,11.887951807228916,21.55421686746988,46.54216867469879,71.76506024096386,6.513253012048193,2.653012048192771,12.365172413793102,2.5120481927710845,17.955421686746988,2009,5,2,0,0,325484,546564
3713,3713,2009-05-03,건고추,7100,16.93132530120482,12.844578313253011,22.83734939759036,43.68674698795181,73.19397590361446,4.613253012048193,1.87710843373494,20.153103448275864,6.64698795180723,19.930120481927712,2009,5,3,0,0,325484,546564
3714,3714,2009-05-04,건고추,7100,16.926506024096387,10.759036144578314,24.725301204819274,29.56626506024097,63.47710843373494,5.453012048192772,2.244578313253012,25.207241379310343,10.11566265060241,21.23012048192771,2009,5,4,0,0,325484,546564
3715,3715,2009-05-05,건고추,7100,17.412048192771085,10.0855421686747,26.16867469879518,28.072289156626507,61.22650602409639,5.66987951807229,2.1144578313253013,24.885862068965515,10.10722891566265,21.743373493975906,2009,5,5,0,0,325484,546564
3716,3716,2009-05-06,건고추,7100,18.433734939759034,10.544578313253012,26.997590361445784,24.75903614457832,56.52289156626506,5.260240963855422,1.840963855421687,25.523448275862066,11.2,22.88313253012048,2009,5,6,0,0,325484,546564
